729/729 710s loss: 92.2650
729/729 445s loss: 91.0615
729/729 436s loss: 90.6049
729/729 441s loss: 90.1652
729/729 439s loss: 89.5563
729/729 436s loss: 89.3209
729/729 432s loss: 88.9952
729/729 436s loss: 88.9514
729/729 437s loss: 88.3328
729/729 433s loss: 87.8961
729/729 430s loss: 87.6026
729/729 434s loss: 87.6254
729/729 437s loss: 87.3711
729/729 434s loss: 86.8132
729/729 432s loss: 86.3152
729/729 434s loss: 86.3637
729/729 435s loss: 86.6335
729/729 435s loss: 86.4055
729/729 432s loss: 86.1514
729/729 435s loss: 85.9317
729/729 435s loss: 85.4115
729/729 436s loss: 85.1904
729/729 433s loss: 85.1720
729/729 433s loss: 85.1876
729/729 435s loss: 84.7580
729/729 436s loss: 84.5542
729/729 432s loss: 84.5622
729/729 433s loss: 84.0428
729/729 436s loss: 83.7927
729/729 435s loss: 83.9155
729/729 430s loss: 83.9687
729/729 432s loss: 83.6287
729/729 436s loss: 83.3993
729/729 436s loss: 83.1090
729/729 433s loss: 82.9063
729/729 433s loss: 82.8694
729/729 434s loss: 82.7176
729/729 437s loss: 82.7166
729/729 433s loss: 82.1215
729/729 435s loss: 82.1054
729/729 436s loss: 82.2820
729/729 437s loss: 82.1994
729/729 432s loss: 81.8101
729/729 433s loss: 81.6138
729/729 435s loss: 81.7278
729/729 435s loss: 81.5742
729/729 432s loss: 81.3632
729/729 432s loss: 81.4366
729/729 436s loss: 81.0696
729/729 435s loss: 80.9268
729/729 433s loss: 80.9201
729/729 432s loss: 80.6179
729/729 434s loss: 80.6363
729/729 436s loss: 80.6048
729/729 435s loss: 80.5178
729/729 432s loss: 80.2965
729/729 433s loss: 80.9044
729/729 436s loss: 80.4418
729/729 434s loss: 80.1261
729/729 432s loss: 80.0764
729/729 431s loss: 80.2133
729/729 434s loss: 79.7829
729/729 433s loss: 80.2916
729/729 430s loss: 80.4498
729/729 431s loss: 79.8644
729/729 433s loss: 79.6018
729/729 434s loss: 79.5141
729/729 436s loss: 79.6738
729/729 432s loss: 79.3383
729/729 435s loss: 79.4547
729/729 434s loss: 79.5025
729/729 435s loss: 79.9050
729/729 432s loss: 79.7025
729/729 434s loss: 79.6006
729/729 434s loss: 79.2127
729/729 434s loss: 78.9222
729/729 431s loss: 79.0228
729/729 434s loss: 78.6410
729/729 433s loss: 79.0778
729/729 435s loss: 79.3376
729/729 431s loss: 79.0033
729/729 433s loss: 78.6937
729/729 435s loss: 78.5685
729/729 436s loss: 78.8280
729/729 433s loss: 79.3331
729/729 432s loss: 79.3212
729/729 434s loss: 79.6239
729/729 435s loss: 79.1530
729/729 432s loss: 78.7459
729/729 431s loss: 78.8247
729/729 433s loss: 78.9061
729/729 434s loss: 78.7110
729/729 433s loss: 79.1683
729/729 431s loss: 79.2086
729/729 432s loss: 79.2149
729/729 436s loss: 79.1908
729/729 434s loss: 78.9905
729/729 432s loss: 78.8556
729/729 431s loss: 79.2588
729/729 434s loss: 78.6046
729/729 434s loss: 78.9248
729/729 431s loss: 79.1088
729/729 432s loss: 79.1472
729/729 434s loss: 79.3023
729/729 433s loss: 79.0208
729/729 432s loss: 79.1846
729/729 431s loss: 79.1061
729/729 433s loss: 79.1837
729/729 435s loss: 79.0679
729/729 432s loss: 78.9101
729/729 431s loss: 79.1001
729/729 434s loss: 79.8509
729/729 434s loss: 79.5099
729/729 432s loss: 79.1955
729/729 432s loss: 79.4321
729/729 435s loss: 79.5764
729/729 436s loss: 79.8001
729/729 434s loss: 79.2935
729/729 431s loss: 79.7658
729/729 434s loss: 79.4513
729/729 436s loss: 79.1982
729/729 435s loss: 79.5406
729/729 430s loss: 79.0990
729/729 434s loss: 79.2075
729/729 435s loss: 79.6344
729/729 436s loss: 79.1418
729/729 432s loss: 79.4338
729/729 433s loss: 79.2447
729/729 434s loss: 78.9465
729/729 434s loss: 79.2585
729/729 432s loss: 79.5949
729/729 433s loss: 79.2856
729/729 436s loss: 79.0781
729/729 436s loss: 79.1185
729/729 433s loss: 78.8705
729/729 432s loss: 78.9209
729/729 434s loss: 78.7781
729/729 435s loss: 78.9694
729/729 432s loss: 79.0802
729/729 434s loss: 79.0467
729/729 435s loss: 79.2338
729/729 434s loss: 78.6692
729/729 432s loss: 78.9641
729/729 432s loss: 78.9042
729/729 432s loss: 79.2923
729/729 434s loss: 78.9810
729/729 433s loss: 78.9496
729/729 432s loss: 79.3505
729/729 432s loss: 79.6949
729/729 434s loss: 79.1483
729/729 435s loss: 79.0558
729/729 433s loss: 79.0477
729/729 433s loss: 79.0774
729/729 435s loss: 78.9126
729/729 435s loss: 79.1331
729/729 432s loss: 78.8076
729/729 435s loss: 79.2037
729/729 436s loss: 79.0047
729/729 434s loss: 79.2726
729/729 434s loss: 79.4468
729/729 431s loss: 79.3549
729/729 434s loss: 79.3013
729/729 434s loss: 78.8497
729/729 432s loss: 79.1367
729/729 433s loss: 79.1332
729/729 434s loss: 79.7237
729/729 432s loss: 79.7378
729/729 432s loss: 79.9600
729/729 430s loss: 79.8208
729/729 432s loss: 79.2738
729/729 434s loss: 79.3484
729/729 434s loss: 79.3303
729/729 432s loss: 79.2257
729/729 433s loss: 78.9970
729/729 435s loss: 78.9250
729/729 435s loss: 79.0754
729/729 432s loss: 78.6927
729/729 432s loss: 79.5401
729/729 434s loss: 79.3502
729/729 435s loss: 79.6909
729/729 432s loss: 79.3651
729/729 433s loss: 79.1122
729/729 434s loss: 79.3823
729/729 437s loss: 79.5040
729/729 432s loss: 79.4307
729/729 431s loss: 79.1457
729/729 434s loss: 79.2292
729/729 436s loss: 79.4794
729/729 433s loss: 78.7929
729/729 430s loss: 78.9869
729/729 431s loss: 78.9796
729/729 434s loss: 79.0722
729/729 434s loss: 79.4569
729/729 432s loss: 79.5705
729/729 432s loss: 79.7125
729/729 436s loss: 79.6972
729/729 434s loss: 79.8111
729/729 431s loss: 79.7405
729/729 432s loss: 79.7183
729/729 437s loss: 79.4263
